,station,net_entries,net_exits,cdtaCode,borough
332,rockaway_blvd,9207,9207,QN10,Queens
333,rockaway_park_b,5148,5148,BK16,Brooklyn
334,roosevelt_islnd,6116,6116,MN08,Manhattan
335,saratoga_av,5018,5018,BK16,Brooklyn
336,seneca_ave,4144,4144,QN05,Queens
337,sheepshead_bay,9134,9134,BK15,Brooklyn
338,shepherd_av,3074,3074,BK05,Brooklyn
339,simpson_st,10321,10321,BX02,Bronx
340,smith_9_st,6151,6151,BK06,Brooklyn
341,south_ferry,21550,21550,MN01,Manhattan
342,spring_st,14054,14054,MN02,Manhattan
343,st._george,25408,25408,SI01,Staten Island
344,st_lawrence_av,6109,6109,BX09,Bronx
345,steinway_st,9100,9100,QN01,Queens
346,sterling_st,3063,3063,BK09,Brooklyn
347,sutphin_archer,12932,12932,QN12,Queens
348,sutphin_blvd,10260,10260,QN12,Queens
349,sutter_av,2023,2023,BK16,Brooklyn
350,sutter_av_rutld,6069,6069,BK16,Brooklyn
351,thirty_st,17319,17319,BK02,Brooklyn
352,thirty_third_st,17197,17197,BK02,Brooklyn
353,times_sq_42_st,53506,53506,MN05,Manhattan
354,tompkinsville,6267,6267,SI01,Staten Island
355,tremont_av,9181,9181,BX05,Bronx
356,twenty_third_st,8538,8538,BK09,Brooklyn
357,union_st,6120,6120,BK06,Brooklyn
358,utica_av,13345,13345,BK03,Brooklyn
359,v.cortlandt_pk,4124,4124,MN01,Manhattan
360,van_siclen_av,7069,7069,BK05,Brooklyn
361,van_siclen_ave,3060,3060,BK05,Brooklyn
362,vernon_jackson,13185,13185,QN02,Queens
363,w_4_st_wash_sq,17936,17936,MN05,Manhattan
364,w_8_st_aquarium,8248,8248,BK13,Brooklyn
365,wakefield_241,5084,5084,BX12,Bronx
366,wall_st,51191,51191,MN01,Manhattan
367,west_farms_sq,9269,9269,BX06,Bronx
368,westchester_sq,3031,3031,BX10,Bronx
369,whitehall_s_fry,15314,15314,MN01,Manhattan
370,whitlock_av,6094,6094,BX02,Bronx
371,wilson_av,5120,5120,BK04,Brooklyn
372,winthrop_st,4015,4015,BK09,Brooklyn
373,woodhaven_blvd,18327,18327,QN09,Queens
374,woodlawn,5120,5120,BX07,Bronx
375,world_trade_ctr,18487,18487,MN01,Manhattan
376,wtc_cortlandt,36103,36103,MN01,Manhattan
377,york_st,2536,2536,BK02,Brooklyn
378,zerega_av,6093,6093,BX10,Bronx
